title,price,writer,publisher,time,page,weight,horizon,vertical,height,isbn13,isbn10
한 달 만에 월세 받는 셰어하우스 재테크,"18,500",이경준,길벗,2019-03-22,360,737,170,225,20,9791160507379,1160507376
아무도 알려주지 않은 4차 산업혁명 이야기,"16,000",강명구,키출판사,2018-05-23,272,298,128,188,16,9791188808274,1188808273
창업가의 브랜딩,"15,000",우승우,북스톤,2017-12-07,288,475,152,214,18,9791187289265,1187289264
진화된 마케팅 그로스 해킹,"19,000",션 엘리스,골든어페어,2017-11-01,446,808,162,230,36,9791188225026,1188225022
프로파간다,"15,000",에드워드 버네이스,공존,2009-07-20,275,544,153,224,20,9788995894576,8995894571
이렇게 쉬운 통계학,"16,000",혼마루 료,한빛미디어,2019-03-10,276,497,153,223,17,9791162241509,1162241500
온라인 쇼핑의 종말,"20,000",바이난트 용건,지식노마드,2019-01-04,456,664,152,225,30,9791187481485,1187481483
잠재고객을 사로잡는 인스타그램 마케팅,"18,000",신상희,위닝북스,2018-11-15,216,434,153,224,20,9791188610877,1188610872
유튜브 컬처,"15,000",케빈 알로카,스타리치북스,2018-09-07,420,611,152,224,20,9791185982533,1185982531
1등 온라인 쇼핑몰의 비밀,"14,300",오완구,라온북,2018-06-26,272,454,150,220,16,9791189089207,1189089203
콘텐츠가 왕이라면 컨텍스트는 신이다,"23,000",박창규,클라우드나인,2018-03-23,466,839,152,225,30,9791186269961,1186269960
(문고판) 4차 산업 혁명의 충격,"8,900",클라우스 슈밥,흐름출판,2018-02-15,322,388,128,188,20,9788965962571,8965962579
그로스 해킹 Growth Hacking,"13,800",라이언 홀리데이,길벗,2015-04-13,256,284,128,188,12,9788966189311,8966189318
라이프스타일을 팔다 ,"13,000",마스다 무네아키,베가북스,2014-04-08,224,396,148,210,20,9788992309974,899230997X
영원한 자유기업인,"12,000",제이 밴 앤델,아름다운사회,2011-02-16,303,456,153,224,30,9788957931691,8957931694
세상에서 가장 쉬운 통계학 입문,"12,800",고지마 히로유키,지상사,2009-12-17,238,452,153,224,20,9788990994004,8990994004
고객의 80%는 비싸도 구매한다!,"12,000",무라마츠 다츠오,씨앤톡,2008-08-13,188,372,153,224,20,9788960980525,8960980528
콘텐츠가 리드하는 도시,"15,900",스페이스클라우드 도시작가,앤스페이스,2019-03-25,320,498,145,205,19,9791196589301,1196589305
그놈의 마케팅,"13,800",신영웅,넥서스BIZ,2019-03-12,256,338,140,200,18,9791161656021,1161656022
끌리는 컨셉 만들기,"18,500",김근배,중앙북스(books),2018-12-08,436,996,165,225,30,9788927809807,8927809807
"생초보, 인스타그램 하루 만에 끝장내기","15,000",김서현,라온북,2018-11-15,221,340,140,210,20,9791189089474,1189089475
마케터의 생각법,"15,000",황부영,갈라북스,2018-10-26,328,496,148,218,30,9791186518274,1186518278
원인과 결과의 경제학,"14,000",나카무로 마키코,리더스북,2018-09-20,211,331,140,200,18,9788901226750,8901226758
아이디어 생산법,"9,800",제임스 웹 영,윌북(willbook),2018-09-10,96,144,110,172,12,9791155811832,1155811836
팩트보다 강력한 스토리텔링의 힘,"14,000",가브리엘 돌란,트로이목마,2017-12-26,248,370,152,215,15,9791187440314,1187440310
본질의 발견,"13,000",최장순,틈새책방,2017-01-02,276,295,128,188,18,9791195976003,1195976003
블로그 운영&마케팅 무작정 따라하기,"14,000",김가영,길벗,2016-08-08,292,618,170,225,16,9791187345404,1187345407
티핑포인트,"14,000",말콤 글래드웰,21세기북스,2016-04-15,272,418,153,224,20,9788950964511,8950964511
디퍼런트,"15,000",문영미,살림Biz,2011-01-25,328,595,145,213,30,9788952215444,8952215443
열심히 일해도 가난해지는데는 이유가 있다,"5,500",이영권,아름다운사회,2005-03-28,163,193,128,188,20,9788957930946,8957930949
브랜드 경험을 디자인하라,"26,000",토마스 가드,유엑스리뷰,2019-02-28,480,610,135,216,30,9791188314126,1188314122
마케팅 차별화의 법칙 ,"15,000",신상훈,천그루숲,2019-02-20,266,474,153,224,20,9791188348343,1188348345
네트워크 마케팅 성공 바이블,"16,000",김유신,미래지식,2019-01-25,296,394,145,218,20,9788965844211,8965844215
네이버 카페 플랫폼 비즈니스로 6개월 안에 연봉 벌기,"16,500",박영식,리텍콘텐츠(RITEC CONTENTS),2018-12-10,248,400,150,210,20,9791186151167,1186151161
큐레이션,"18,000",마이클 바스카,예문아카이브,2016-11-17,432,767,152,225,25,9791187749028,1187749028
"한국 경제의 대안, 왜 네트워크 마케팅인가?","5,000",이영권,아름다운사회,2009-11-20,120,159,130,210,20,9788957931639,8957931635
당신의 세포가 녹슬어가고 있다,"5,500",강영환,아름다운사회,2008-05-30,112,160,128,188,20,9788957931516,8957931511
"영화, 경영과 마케팅에 빠지다","10,000",심상훈,북포스,2007-07-30,208,374,148,210,20,9788991120150,8991120156
왜 그 병원에만 환자가 몰릴까?,"13,800",이재우,라온북,2019-05-03,248,423,150,220,15,9791189089849,118908984X
스포츠마케팅 쪼개기 2020,"22,000",이승용,북마크,2019-04-17,728,009,150,220,35,9791185846781,1185846786
블록체인 완전정복 2/e,"40,000",임란 바쉬르,에이콘출판사,2019-03-20,724,282,188,235,34,9791161752723,1161752722
10년 후 일자리 도감,"14,000",호리에 다카후미,동녘라이프,2019-02-15,256,345,140,205,16,9788990514721,899051472X
세일즈로 갑질하기,"13,800",김용기,행복한북클럽,2019-01-10,228,378,145,210,17,9788990834829,8990834821
리테일 바이블 2020,"23,000",리테일 소사이어티,와이즈맵,2018-12-26,456,782,152,225,30,9791189328108,1189328100
온라인 플랫폼 마케팅,"16,000",신승철,라온북,2018-12-05,280,484,150,220,20,9791189089528,1189089521
"생초보, SNS 마케팅 하루 만에 끝장내기","15,000",서영주,라온북,2018-11-05,256,386,140,210,20,9791189089467,1189089467
밥벌이의 미래,"15,000",이진오,틈새책방,2018-09-11,339,366,128,188,22,9791188949090,1188949098
보면 아는 블록체인,"16,000",박성묵,정보문화사,2018-07-25,232,450,153,225,16,9788956747873,8956747873
블루보틀에 다녀왔습니다,"12,000",양도영,스리체어스(threechairs),2018-04-16,120,146,128,188,9,9791186984314,1186984317
카페 블루보틀,"14,500",김태균,팬덤북스,2018-04-09,264,339,128,188,16,9791161690445,1161690441
4차 산업혁명 그 이후 미래의 지배자들,"16,000",최은수,비즈니스북스,2018-03-23,376,666,152,225,24,9791162540077,1162540079
"(문고판) 일의 미래, 무엇이 바뀌고 무엇이 오는가","8,300",선대인,인플루엔셜,2018-02-12,271,276,128,188,16,9791186560686,1186560681
무인양품 보이지 않는 마케팅,"13,000",마스다 아키코,라이팅하우스,2017-10-30,256,329,128,188,15,9788998075453,8998075458
"나는 SNS 마케팅으로 월 3,000만 원 번다","18,000",이채희,위닝북스,2017-04-07,240,411,152,210,15,9791187532484,1187532487
리크루팅의 정석,"15,000",문충태,중앙경제평론사,2016-02-05,240,522,148,210,20,9788960541603,8960541605
GO PRO: 네트워크 마케팅 프로가 되는 7단계,"12,000",에릭 워레,프리렉,2015-01-02,192,244,148,210,11,9788965400905,8965400902
Simply Rich 심플리 리치,"15,000",리치 디보스,아름다운사회,2014-10-30,295,572,153,224,20,9788957931844,8957931848
그들도 모르는 그들의 생각을 읽어라,"17,000",로저 둘리,윌컴퍼니(WILLCOMPANY),2013-02-01,388,582,152,224,30,9788996775157,8996775150
질문이 답이다,"9,500",앨런 피즈,이상biz,2012-02-13,192,258,128,190,20,9788993690101,8993690103
판매의 심리학,"13,000",브라이언 트레이시,비즈니스맵,2008-04-15,288,626,153,224,20,9788991814905,8991814905
데이터 사이언티스트,"15,000",김진호,북카라반,2019-03-29,260,469,152,225,16,9791160050622,1160050627
인공지능에 도덕엔진을 탑재하는 법,"13,800",정웅일,클라우드나인,2019-03-25,204,270,128,188,14,9791189430160,1189430169
쇼피에서 10억 벌기,"25,000",이태현,휴먼하우스,2019-02-20,275,738,188,257,20,9791185455150,1185455159
대한민국 리더들이 모르는 온라인 마케팅의 함정,"15,000",이상규,나비의활주로,2019-01-30,292,524,150,220,20,9791188230617,1188230611
푸드 트렌드 매거진 No. 2 펀슈머,"15,000",문정훈,이김,2019-01-02,144,312,170,240,20,9791196283193,1196283192
이동의 미래,"18,000",차두원,한스미디어,2018-12-05,400,590,152,224,30,9791160073317,1160073317
라이프 트렌드 2019,"17,000",김용섭,부키,2018-10-25,452,796,147,225,30,9788960516663,896051666X
BTS 마케팅,"15,000",박형준,21세기북스,2018-10-05,270,387,148,210,17,9788950977559,8950977559
올 댓 카피,"13,000",민재희,이담북스(이담Books),2018-08-03,199,328,140,210,13,9788926884997,8926884996
마케팅의 정석,"18,000",은종성,책길,2018-07-01,375,638,150,220,24,9791196397616,1196397619
따라하면 매출이 따라오는 페이스북 마케팅,"15,000",임성빈,원앤원북스,2018-05-20,252,468,153,225,16,9791196341800,119634180X
NAVER오픈마켓 스마트스토어,"22,000",양주환,맑은샘,2017-12-31,410,948,188,257,20,9791157782567,1157782566
처음부터 다시 배우는 서비스 디자인 씽킹 ,"23,000",배성환,한빛미디어,2017-06-01,372,535,153,223,16,9788968487880,896848788X
"스타벅스, 공간을 팝니다","15,000",주홍식,알에이치코리아(RHK),2017-05-29,264,434,148,210,16,9788925561776,8925561778
보이지 않는 영향력,"16,500",조나 버거,문학동네,2017-03-24,328,529,152,220,20,9788954644808,8954644805
괴짜 예술가들의 별난 마케팅,"14,500",최정훈,팬덤북스,2017-01-19,180,604,285,180,14,9791186404867,1186404868
(문고판) 로봇의 부상,"9,800",마틴 포드,세종서적,2016-03-23,480,437,128,188,24,9788984076952,8984076953
달리하라 튀게하라 ,"14,800",드류 에릭 위트먼,글로세움,2015-09-07,352,510,149,218,30,9791186578209,1186578203
끌리는 컨셉의 법칙,"15,000",김근배,중앙북스(books),2014-12-08,316,610,150,220,20,9788927805953,892780595X
네트워크 마케팅 시스템을 알면 성공한다,"10,000",석세스기획연구회,모아북스,2014-07-17,234,355,150,210,14,9788997385461,8997385461
