title,price,writer,publisher,time,page_weight_cm,isbn13,isbn10
팩트보다 강력한 스토리텔링의 힘,"14,000원",가브리엘 돌란,트로이목마,2017년 12월 26일,248쪽 | 370g | 152*215*15mm,9791187440314,1187440310
창업가의 브랜딩,"15,000원",우승우,북스톤,2017년 12월 07일,288쪽 | 475g | 152*214*18mm,9791187289265,1187289264
본질의 발견,"13,000원",최장순,틈새책방,2017년 01월 02일,276쪽 | 295g | 128*188*18mm,9791195976003,1195976003
쇼핑몰 제작을 위한 아이템 선정 및 사업계획서 작성전략 2,"8,800원",최창문,앱북스,2014년 02월 20일,100쪽 | 크기확인중,9791185618012,1185618015
쇼핑몰 제작을 위한 아이템 선정 및 사업계획서 작성전략 1,"8,800원",최창문,앱북스,2014년 02월 20일,119쪽 | 크기확인중,9791185618005,1185618007
부자 아빠의 21세기형 비즈니스,"12,000원",로버트 기요사키,민음인,2014년 02월 03일,224쪽 | 382g | 148*210*20mm,9788960173507,8960173509
모든 비즈니스는 브랜딩이다,"18,000원",홍성태,쌤앤파커스,2012년 07월 15일,320쪽 | 642g | 160*235*30mm,9788965700784,8965700787
디퍼런트,"15,000원",문영미,살림Biz,2011년 01월 25일,328쪽 | 595g | 145*213*30mm,9788952215444,8952215443
프로파간다,"15,000원",에드워드 버네이스,공존,2009년 07월 20일,275쪽 | 544g | 153*224*20mm,9788995894576,8995894571
당신도 위대한 네트워커가 될 수 있다,"7,000원",우종철,아름다운사회,2008년 04월 02일,216쪽 | 153*224*20mm,9788957931486,8957931481
카피사전,"13,500원",이종서,키출판사,2019년 04월 25일,296쪽 | 118*168*18mm,9791189719203,1189719207
꽂히는 말 한마디,"13,000원",필 M. 존스,생각의날개,2019년 03월 22일,200쪽 | 227g | 130*190*14mm,9791185428444,1185428445
구독과 좋아요의 경제학,"18,000원",티엔 추오,부키,2019년 01월 30일,"3,320쪽 | 504g | 152*212*80mm",9788960516908,8960516902
대한민국 리더들이 모르는 온라인 마케팅의 함정,"15,000원",이상규,나비의활주로,2019년 01월 30일,292쪽 | 524g | 150*220*20mm,9791188230617,1188230611
원인과 결과의 경제학,"14,000원",나카무로 마키코,리더스북,2018년 09월 20일,211쪽 | 331g | 140*200*18mm,9788901226750,8901226758
‘팔다’에서 ‘팔리다’로,"13,800원",미즈노 마나부,이콘,2018년 03월 30일,206쪽 | 265g | 128*188*13mm,9788997453962,8997453963
암웨이 사업 제대로 알아보기 시작하기 해내기,"13,000원",김선기,나라,2016년 10월 24일,291쪽 | 153*222*20mm,9791195349104,1195349106
그로스 해킹 Growth Hacking,"13,800원",라이언 홀리데이,길벗,2015년 04월 13일,256쪽 | 284g | 128*188*12mm,9788966189311,8966189318
라이프스타일을 팔다 ,"13,000원",마스다 무네아키,베가북스,2014년 04월 08일,224쪽 | 396g | 148*210*20mm,9788992309974,899230997X
열심히 일해도 가난해지는데는 이유가 있다,"5,500원",이영권,아름다운사회,2005년 03월 28일,163쪽 | 193g | 128*188*20mm,9788957930946,8957930949
[예약판매] 크러쉬 잇! SNS로 열정을 돈으로 바꿔라,"13,000원",게리 바이너척,천그루숲,2019년 05월 20일,216쪽 | 140*205*20mm,9791188348459,1188348450
콘텐츠가 리드하는 도시,"15,900원",스페이스클라우드 도시작가,앤스페이스,2019년 03월 25일,320쪽 | 498g | 145*205*19mm,9791196589301,1196589305
한 달 만에 월세 받는 셰어하우스 재테크,"18,500원",이경준,길벗,2019년 03월 22일,360쪽 | 737g | 170*225*20mm,9791160507379,1160507376
