title,price,writer,publisher,time,page_weight_cm,isbn13,isbn10
"해커, 광기의 랩소디","25,000원",스티븐 레비,한빛미디어,2019년 05월 05일,604쪽 | 153*223*35mm,9791162241769,1162241764
영업은 사람이 전부다,"16,000원",박영호,에프앤,2019년 05월 01일,272쪽 | 146*210*20mm,9791195310357,1195310358
매출을 높이는 실전 구글 광고 마케팅,"18,000원",김진,마소캠퍼스,2019년 04월 30일,218쪽 | 172*235*20mm,9791195121687,1195121687
엄마는 영업사원,"15,000원",김진향,이지컴,2019년 04월 22일,272쪽 | 150*224*20mm,9791195010165,1195010168
최고의 영업은 무엇이 다른가,"22,000원",마이크 슐츠,행복한북클럽,2019년 04월 15일,384쪽 | 755g | 155*255*25mm,9791189969097,1189969092
데이터 사이언티스트,"15,000원",김진호,북카라반,2019년 03월 29일,260쪽 | 469g | 152*225*16mm,9791160050622,1160050627
인공지능에 도덕엔진을 탑재하는 법,"13,800원",정웅일,클라우드나인,2019년 03월 25일,204쪽 | 270g | 128*188*14mm,9791189430160,1189430169
단번에 고객을 사로잡는 보험 실전 화법,"16,000원",김동범,중앙경제평론사,2019년 03월 20일,288쪽 | 508g | 153*225*17mm,9788960542174,8960542172
블록체인 완전정복 2/e,"40,000원",임란 바쉬르,에이콘출판사,2019년 03월 20일,"724쪽 | 1,282g | 188*235*34mm",9791161752723,1161752722
당신의 일은 안녕하십니까,"14,800원",스즈키 다카히로,매일경제신문사,2019년 03월 11일,220쪽 | 383g | 150*210*14mm,9791155429464,115542946X
쇼피에서 10억 벌기,"25,000원",이태현,휴먼하우스,2019년 02월 20일,275쪽 | 738g | 188*257*20mm,9791185455150,1185455159
2022 누가 자동차 산업을 지배하는가? ,"18,000원",다나카 미치아키,한스미디어,2019년 01월 23일,360쪽 | 562g | 152*224*30mm,9791160073379,1160073376
마케팅 천재가 된 맥스,"13,800원",제프 콕스,위즈덤하우스,2018년 11월 12일,352쪽 | 572g | 148*215*30mm,9791162202852,1162202858
2019 대한민국 트렌드,"16,000원",최인수,한국경제신문사(한경비피),2018년 11월 05일,352쪽 | 618g | 152*225*30mm,9788947544191,8947544191
"생초보, SNS 마케팅 하루 만에 끝장내기","15,000원",서영주,라온북,2018년 11월 05일,256쪽 | 386g | 140*210*20mm,9791189089467,1189089467
퍼포먼스 디지털마케팅 실전,"12,000원",김원태,지식과감성#,2018년 10월 19일,156쪽 | 148*210*20mm,9791162753279,1162753277
BTS 마케팅,"15,000원",박형준,21세기북스,2018년 10월 05일,270쪽 | 387g | 148*210*17mm,9788950977559,8950977559
된다! 일당백 마케터의 업무 자동화,"15,000원",박주훈,이지스퍼블리싱,2018년 07월 06일,268쪽 | 579g | 188*257*12mm,9791163030171,NA
외계어 없이 이해하는 암호화폐,"14,000원",송범근,책비,2018년 06월 28일,266쪽 | 400g | 145*205*15mm,9791187400332,1187400335
네트워크 마케팅은 브랜드다,"6,500원",백금기,에스북,2018년 06월 20일,191쪽 | 128*188*20mm,9791189286002,1189286009
나라는 브랜드,"16,000원",디자인 매거진 CA 편집부,CABOOKS,2018년 06월 04일,240쪽 | 401g | 140*218*20mm,9788997225460,8997225464
따라하면 매출이 따라오는 페이스북 마케팅,"15,000원",임성빈,원앤원북스,2018년 05월 20일,252쪽 | 468g | 153*225*16mm,9791196341800,119634180X
홈쇼핑 채널전략,"15,000원",조성선,코카리테일인사이트,2017년 09월 29일,336쪽 | 152*215mm,9791196189105,1196189102
빅데이터를 활용한 예측마케팅 전략,"18,000원",외머 아튼,마인드큐브,2017년 08월 10일,348쪽 | 517g | 153*224*18mm,9791195327799,119532779X
페이스북 광고 & 타겟마케팅,"19,000원",이종근,리텍콘텐츠(RITEC CONTENTS),2017년 07월 10일,327쪽 | 584g | 153*225*20mm,9791186151099,1186151099
